Code,Code of parent class,Label,Description
P,,IMPRESS Person,A single individual
P1,P,Responders,
P1.1,P1,Roles,A survivor of an EOPHC
P1.1.1,P1.1,Incident coordination,The upper level coordination roles that a person may have during an emergency 
P1.1.1.1,P1.1.1,Information officer,
P1.1.1.2,P1.1.1,Liaison officer,
P1.1.1.3,P1.1.1,Safety Officer,
P1.1.1.4,P1.1.1,Incident coordination  level 2,The lower lever coordination roles that a person may have during an emergency
P1.1.1.4.1,P1.1.1.4,Operation commnader,
P1.1.1.4.2,P1.1.1.4,Planning officer,
P1.1.1.4.3,P1.1.1.4,Logistics officer,
P1.1.1.4.4,P1.1.1.4,Administration  officer,The indicators of the person’s health state
P1.1.1.4.5,P1.1.1.4,Community  Relation officer,The roles that a person may have during an emergency 
P1.2,P1,Command Group on scene,"In complex incidents or incidents over an extended time, a place of command is established from which this group can coordinate the operation."
P1.2.1,P1.2,Medical Incident Commander,
P1.2.2,P1.2,Police Incident Commander,
P1.2.3,P1.2,Rescue Incident Commander,
P2,P,Affected,A single individual which is affected by an EOPHC
P2.1,P2,Humans,
P2.1.1,P2.1,Survivors,
P2.1.1.1,P2.1.1,Non injured,
P2.1.1.1.1,P2.1.1.1,Non injured victims,Usually accompany injured patients. A special area must be prepared for these victims with access to psychological support staff and information. Voluntary organizations are very useful.
P2.1.1.2,P2.1.1,Injured,"Injured person can be described by ICD10-ICECI. Please, provide a range of codes."
P2.1.1.2.1,P2.1.1.2,First Aid Injury,
P2.1.1.2.2,P2.1.1.2,Lost time injury,
P2.1.1.2.3,P2.1.1.2,Medical treatment injury,
P2.1.1.2.4,P2.1.1.2,Severely injured patient,"Transported by ambulance, helicopter, car, relatives or other means. Taken care of by trauma teams, that usually consist of two or three physicians and three or four nurses, responsible for different functions"
P2.1.1.2.5,P2.1.1.2,Less severely injured patients,"Usually come by ambulance, car, relatives or walking: must be carefully examined by doctor and nurse. Cannot be sent home, also because of psychological trauma, may be admitted to wards for further medical treatment. Must meet psychological support operators"
P2.1.1.2.6,P2.1.1.2,Expectant,"Blue tag, T4: this category is activated in case of MCS: the patients with low survival probability or who are beyond the scope of survival receive only palliative care. They are not treated non transported."
