Code,Code of parent class,Label,Description
R,,IMPRESS Resources,Anything that is used to support or help in the response during a health emergency
R1,R,Organizations,The Organizations that take part at the response of an emergency event
R1.1,R1,Volunteers,
R1.2,R1,NGOs,
R1.3,R1,Stakeholders,The stakeholders that are involved during a health emergency
R1.3.1,R1.3,Civilian,
R1.3.1.1,R1.3.1,Fire Service,
R1.3.1.2,R1.3.1,Police,
R1.3.1.3,R1.3.1,Ambulance service,
R1.3.1.4,R1.3.1,Civil Protection,
R1.3.1.4.1,R1.3.1.4,Rescue service,
R1.3.1.5,R1.3.1,Medical sector,
R1.3.1.5.1,R1.3.1.5,National Medical Operations Center,
R1.3.1.5.2,R1.3.1.5,Hospitals,
R1.3.1.5.3,R1.3.1.5,Public Health,
R1.3.2,R1.3,Military,
R1.3.2.1,R1.3.2,Medical,
R1.3.2.2,R1.3.2,Non medical,
R2,R,Human resources,"The personnel of agencies, units, departments etc. that take part during a response"
R2.1,R2,Fire department,
R2.2,R2,Police units,
R2.3,R2,Armed forces,
R2.3.1,R2.3,Army,
R2.3.2,R2.3,Navy,
R2.3.3,R2.3,Air Force,
R2.6,R2,Civil Protection,
R2.4,R2,Ambulance service,
R2.4.1,R2.4,Mobile Surgical Team,
R2.5,R2,Medical sector,
R2.5.1,R2.5,Personel,
R2.5.1.1,R2.5.1,Doctor,
R2.5.1.2,R2.5.1,Nurse,
R2.5.1.3,R2.5.1,Emergency teams,
R2.5.1.4,R2.5.1,Supportive,
R3,R,Equipment,
R3.1,R3,Personal,
R3.1.1,R3.1,CBRNE ,
R3.1.1.1,R3.1.1,PPE,
R3.1.1.1.1,R3.1.1.1,Full Protective Equipment,The person is fully equiped and protected in this case
R3.1.1.1.1.1,R3.1.1.1.1,"Respiratory System Protection, Body Protection, Head, Eye, Ear Protection ",
R3.1.1.1.2,R3.1.1.1,Partial Protective Equipment,
R3.1.1.1.2.1,R3.1.1.1.2,Respiratory System Protection,Self-contained breathing apparatus and Gas Mask with respirator (s)  
R3.1.1.1.2.2,R3.1.1.1.2,Body Protection,"Positive Pressure Personal Suit and Suit, gloves, boots"
R3.1.1.1.2.3,R3.1.1.1.2,"Head, Eye, Ear Protection","Helmet, Goggles and Visors"
R3.1.1.1.2.4,R3.1.1.1.2,Respiratory System Protection and Body Protection,"Self-contained breathing apparatus and Gas Mask with respirator (s)  + Positive Pressure Personal Suit and Suit, gloves, boots"
R3.1.1.1.2.5,R3.1.1.1.2,"Respiratory System Protection and Head, Eye, Ear Protection","Self-contained breathing apparatus and Gas Mask with respirator (s) + Helmet, Goggles and Visors"
R3.1.1.1.2.6,R3.1.1.1.2,"Body Protection and Head, Eye, Ear Protection","Positive Pressure Personal Suit and Suit, gloves, boots + Helmet, Goggles and Visors"
R3.1.1.2,R3.1.1,Detection/sampling equipment,
R3.1.1.3,R3.1.1,Decontamination equipment,
R3.1.2,R3.1,Conventional,
R3.1.2.1,R3.1.2,Rescue equipment,
R3.1.2.2,R3.1.2,Protective clothing,
R3.2,R3,Collective,
R3.2.1,R3.2,Tent,
R3.2.2,R3.2,Supplies,
R3.2.2.1,R3.2.2,Food,
R3.2.2.2,R3.2.2,Water,
R3.2.2.2.1,R3.2.2.2,Drinking water,
R3.2.2.2.2,R3.2.2.2,Utility water,
R3.2.2.3,R3.2.2,Mobile Sanitary Facilities,
R3.2.2.4,R3.2.2,Electrical power,
R3.2.2.4.1,R3.2.2.4,Heat,
R3.2.2.4.2,R3.2.2.4,Cool,
R3.2.5,R3.2,First Aid Station,
R3.2.5.1,R3.2.5,Medical Replacement Stockpile,"Includes any structural resources such as buildings, transportation etc."
R4,R,Animals,
R4.1,R4,S&R Canine units,
R5,R,Infrastructure,
R5.1,R5,Buildings,
R5.1.1,R5.1,House,
R5.1.2,R5.1,School,
R5.1.3,R5.1,University,
R5.1.4,R5.1,Hotel,
R5.1.4.1,R5.1.4,Hostel,
R5.1.5,R5.1,Hospital,
R5.1.5.1,R5.1.5,Hospital Status,
R5.1.5.1.1,R5.1.5.1,Surge capacity,
R5.1.5.1.2,R5.1.5.1,Bed Capacity,
R5.1.5.1.3,R5.1.5.1,Special units,
R5.1.5.1.3.1,R5.1.5.1.3,ICU,
R5.1.5.1.3.2,R5.1.5.1.3,Burn Units,
R5.1.5.1.3.3,R5.1.5.1.3,Dialysis Units,
R5.1.5.1.4,R5.1.5.1,Medical specialties,
